Dataset|Attribute Name|Embeddings|Similarity Measure|Duplicates Type|Valid Pairs|BF Pairs|Domain|Average Characters D1|Average Tokens D1|Coverage D1|Average Characters D2|Average Tokens D2|Coverage D2|Portion of Valid Pairs|CNC Precision|CNC Recall|CNC F-Measure|CNC Threshold|CNC Run-time|RSR Precision|RSR Recall|RSR F-Measure|RSR Threshold|RSR Run-time|RCA Precision|RCA Recall|RCA F-Measure|RCA Threshold|RCA Run-time|BAH Precision|BAH Recall|BAH F-Measure|BAH Threshold|BAH Run-time|BMC Precision|BMC Recall|BMC F-Measure|BMC Threshold|BMC Run-time|EXC Precision|EXC Recall|EXC F-Measure|EXC Threshold|EXC Run-time|KRC Precision|KRC Recall|KRC F-Measure|KRC Threshold|KRC Run-time|UMC Precision|UMC Recall|UMC F-Measure|UMC Threshold|UMC Run-time|BMC Configuration
DBLP-ACM|Title|Albert|WMD|Balanced|6001104|6001104|Bibliographic|56|8|1|57|8|1|1|0.99938041|0.725269794|0.840542018|0.949999988|35|0.923036933|0.798111498|0.856040478|0.949999988|121|0.962814629|0.756744623|0.847432077|0.949999988|170|0.96738559|0.826888502|0.891636372|0.949999988|2159|0.973592401|0.87859714|0.923658729|0.949999988|61|0.99529779|0.85656476|0.920734704|0.949999988|48|0.990355386|0.877248228|0.930376768|0.949999988|375|0.977578461|0.882194221|0.927440286|0.949999988|71|Left
DBLP-ACM|Authors|FastText|Cosine Similarity|Balanced|6001104|6001104|Bibliographic|47|10|1|47|10|1|1|0.994092822|0.529676259|0.691111743|0.949999988|35|0.805555582|0.651978433|0.720675886|0.949999988|86|0.791446686|0.674010813|0.72802335|0.899999976|157|0.814908743|0.722571969|0.765967607|0.899999976|2063|0.817871094|0.753147483|0.784176052|0.899999976|57|0.963548839|0.629946053|0.761827052|0.899999976|43|0.903459847|0.72796762|0.806274891|0.699999928|978|0.844238281|0.777428031|0.809456944|0.899999976|63|Left
DBLP-ACM|Authors|FastText|Euclidean Distance|Balanced|6001104|6001104|Bibliographic|47|10|1|47|10|1|1|0.994884908|0.524730206|0.687076807|0.599999905|57|0.812903225|0.62320143|0.705523074|0.549999893|94|0.774298072|0.644784153|0.703631043|0.499999881|133|0.824117959|0.703687072|0.759155929|0.449999869|2059|0.797924876|0.72616905|0.760357857|0.499999881|61|0.968376696|0.61960429|0.755689561|0.499999881|45|0.899943769|0.719874084|0.799900115|0.249999836|3328|0.817021251|0.776978433|0.796496928|0.449999869|108|Left
DBLP-ACM|Authors|FastText|WMD|Balanced|6001104|6001104|Bibliographic|47|10|1|47|10|1|1|0|0|0|0|994|0.151825756|0.106564745|0.125231177|0.949999988|1384|0.357890159|0.369154662|0.363435149|0.949999988|154|0.455972105|0.470323741|0.463036716|0.799999952|2036|0.360069752|0.371402889|0.365648538|0.899999976|1037|0.814516127|0.317895681|0.457309186|0.899999976|1551|0.715159774|0.473021597|0.569418132|0.949999988|3496|0.503487349|0.519334555|0.511288166|0.899999976|9578|Left
DBLP-ACM|Authors|Albert|Cosine Similarity|Balanced|5971076|6001104|Bibliographic|47|10|1|47|10|1|0.99|0.911111116|0.018435251|0.036139268|0.949999988|74|0.082916372|0.052158274|0.064035326|0.949999988|408|0.288552016|0.248201445|0.266860038|0.949999988|160|0.327510923|0.337230206|0.332299471|0.549999893|2310|0.315068483|0.279226631|0.296066731|0.949999988|76|0.704735398|0.227517992|0.34398371|0.949999988|83|0.582357479|0.335431665|0.425677598|0.949999988|346|0.435078532|0.373651087|0.402031928|0.949999988|116|Left
DBLP-ACM|Authors|Albert|Euclidean Distance|Balanced|6001104|6001104|Bibliographic|47|10|1|47|10|1|1|0.968127489|0.218525186|0.356566399|0.149999842|34|0.759577274|0.258543164|0.385776579|0.149999842|57|0.573232353|0.204136685|0.301061004|0.099999845|132|0.665039063|0.306205034|0.419334978|0.099999845|2015|0.613207519|0.29226619|0.395858705|0.099999845|61|0.826271176|0.263039559|0.399044991|0.099999845|44|0.751981708|0.298561156|0.427421927|0.099999845|313|0.679245293|0.323741019|0.438489676|0.099999845|67|Left
DBLP-ACM|Authors|Albert|WMD|Balanced|6001104|6001104|Bibliographic|47|10|1|47|10|1|1|0.876288652|0.191097125|0.313768923|0.949999988|35|0.647427857|0.232014388|0.341608733|0.949999988|57|0.617021263|0.156474814|0.249641314|0.949999988|139|0.672110558|0.240557551|0.354304612|0.949999988|2093|0.654963672|0.243255392|0.35475409|0.949999988|48|0.803660572|0.217176259|0.3419469|0.949999988|52|0.738700662|0.235161871|0.356753081|0.949999988|443|0.682424247|0.253147483|0.369301409|0.949999988|98|Right
Walmart-Amazon|Model No|FastText|Cosine Similarity|Scarce|37699857|56376996|E-commerce|8|1|0.94|9|2|0.71|0.67|0.53801167|0.107854627|0.1796875|0.949999988|216|0.315151513|0.121922627|0.17582418|0.949999988|326|0.266146988|0.280187577|0.272986859|0.899999976|632|0.212500006|0.199296594|0.205686629|0.899999976|123805|0.259711444|0.274325907|0.266818732|0.899999976|246|0.325408608|0.256740928|0.287024915|0.899999976|252|0.296894401|0.280187577|0.288299143|0.899999976|1792|0.274356097|0.287221581|0.280641466|0.899999976|357|Right
Walmart-Amazon|Model No|FastText|Euclidean Distance|Scarce|37699860|56376996|E-commerce|8|1|0.94|9|2|0.71|0.67|0.476439804|0.106682301|0.174329489|0.549999893|217|0.264864862|0.114888631|0.160261646|0.499999881|436|0.280587286|0.201641262|0.234652117|0.449999869|676|0.202404812|0.23681125|0.218260393|0.399999857|123318|0.294776112|0.185228601|0.22750178|0.549999893|244|0.264604807|0.270808905|0.2676709|0.349999845|9294|0.251789987|0.247362256|0.249556497|0.499999881|1758|0.322580636|0.199296594|0.246376798|0.549999893|371|Right
IMDB-TMDB|Name|FastText|Cosine Similarity|Scarce|13318424|30994608|Movies|13|2|0.76|13|2|0.57|0.43|0.835944712|0.460873991|0.594169676|0.949999988|77|0.821460783|0.46290651|0.592135191|0.949999988|112|0.826359808|0.200711384|0.322976261|0.949999988|606|0.820773959|0.204776421|0.327775538|0.949999988|2636|0.825382531|0.465955287|0.595647931|0.949999988|109|0.827617347|0.465955287|0.596228838|0.949999988|90|0.82628262|0.466463417|0.596297443|0.949999988|628|0.82628262|0.466463417|0.596297443|0.949999988|128|Right
IMDB-TMDB|Name|FastText|Euclidean Distance|Scarce|13326102|30994608|Movies|13|2|0.76|13|2|0.57|0.43|0.836380243|0.464939028|0.597648621|0.449999869|75|0.821109116|0.466463417|0.594944894|0.399999857|117|0.839357436|0.21239838|0.339010566|0.549999893|587|0.849686861|0.20680894|0.332652211|0.449999869|2750|0.821333349|0.469512194|0.597478211|0.449999869|127|0.825112104|0.467479676|0.596821249|0.449999869|93|0.822064042|0.469512194|0.59767139|0.449999869|677|0.821333349|0.469512194|0.597478211|0.449999869|140|Left
IMDB-TMDB|Name|FastText|WMD|Scarce|13326102|30994608|Movies|13|2|0.76|13|2|0.57|0.43|0|0|0|0|3061|0.047730464|0.051829267|0.049695492|0.949999988|3847|0.116623148|0.204268292|0.148476452|0.399999857|622|0.115801819|0.200711384|0.146867454|0.799999952|2937|0.168568924|0.292682916|0.213927582|0.949999988|3367|0.488392085|0.288617879|0.362823367|0.949999988|3699|0.412115663|0.456300825|0.43308419|0.949999988|10150|0.265035391|0.456808954|0.335447788|0.949999988|22095|Left
IMDB-TMDB|Name|Albert|Cosine Similarity|Scarce|12936067|30994608|Movies|13|2|0.76|13|2|0.57|0.42|0.791666687|0.009654472|0.019076306|0.949999988|373|0.036998972|0.018292682|0.02448147|0.649999917|4834|0.130966023|0.174288616|0.14955309|0.949999988|744|0.115752831|0.202743903|0.147368431|0.049999844|2761|0.205198362|0.304878056|0.24529846|0.949999988|313|0.570093453|0.309959352|0.401579976|0.949999988|359|0.475678444|0.472052842|0.473858714|0.949999988|1234|0.328505814|0.472560972|0.387580752|0.949999988|838|Left
IMDB-TMDB|Name|Albert|Euclidean Distance|Scarce|13326102|30994608|Movies|13|2|0.76|13|2|0.57|0.43|0.833636343|0.465955287|0.597783566|0.949999988|77|0.830171645|0.466971546|0.597723544|0.949999988|113|0.809384167|0.280487806|0.416603774|0.899999976|596|0.78352493|0.207825199|0.328514069|0.299999833|2823|0.830171645|0.466971546|0.597723544|0.949999988|92|0.830171645|0.466971546|0.597723544|0.949999988|99|0.830171645|0.466971546|0.597723544|0.949999988|783|0.831074953|0.467479676|0.59837395|0.949999988|130|Right
IMDB-TMDB|Name|Albert|WMD|Scarce|13326102|30994608|Movies|13|2|0.76|13|2|0.57|0.43|0.743076921|0.245426834|0.368983984|0.949999988|81|0.365024298|0.267276436|0.308594912|0.949999988|216|0.415447146|0.259654462|0.319574714|0.949999988|609|0.354268879|0.183434963|0.241714075|0.949999988|2716|0.488235295|0.421747953|0.45256266|0.949999988|127|0.651832461|0.379573166|0.479768753|0.949999988|99|0.604849279|0.469004065|0.52833426|0.949999988|643|0.551703513|0.469004065|0.507003546|0.949999988|159|Left
IMDB-TMDB|Title|FastText|Cosine Similarity|Scarce|3235475|30994608|Movies|16|3|0.24|16|3|0.43|0.1|0.964245796|0.438516259|0.602864146|0.949999988|25|0.867517173|0.449186981|0.591898203|0.899999976|55|0.850000024|0.207317069|0.333333313|0.949999988|645|0.819253445|0.21189025|0.336697638|0.899999976|2755|0.893838882|0.479166657|0.623883545|0.849999964|29|0.937062919|0.476626009|0.631862581|0.849999964|33|0.927592933|0.481707305|0.634113729|0.849999964|235|0.899621189|0.482723564|0.628306866|0.849999964|52|Right
IMDB-TMDB|Title|FastText|Euclidean Distance|Scarce|3266468|30994608|Movies|16|3|0.24|16|3|0.43|0.11|0.965090096|0.435467482|0.600140095|0.549999893|25|0.931404054|0.441565037|0.599103749|0.949999988|47|0.890625|0.202743903|0.330298007|0.599999905|645|0.934090912|0.208841458|0.341362119|0.849999964|2582|0.893779933|0.47459349|0.619980097|0.449999869|29|0.930209398|0.474085361|0.628071368|0.399999857|28|0.926805139|0.476117879|0.629070163|0.449999869|175|0.898467422|0.476626009|0.622841954|0.449999869|37|Right
IMDB-TMDB|Title|FastText|WMD|Scarce|3266468|30994608|Movies|16|3|0.24|16|3|0.43|0.11|0|0|0|0|741|0.106425703|0.053861789|0.071524963|0.949999988|1045|0.333067089|0.21189025|0.259006232|0.849999964|653|0.316546768|0.201219514|0.246039137|0.899999976|2679|0.649361014|0.41310975|0.504968941|0.949999988|190|0.890455544|0.417174786|0.568166077|0.899999976|742|0.824609756|0.456300825|0.587504089|0.949999988|1452|0.71964854|0.457825214|0.559627354|0.849999964|4257|Right
IMDB-TMDB|Title|Albert|Cosine Similarity|Scarce|2805287|30994608|Movies|16|3|0.24|16|3|0.43|0.09|0.963855445|0.121951222|0.216508806|0.949999988|29|0.379761904|0.16209349|0.227207974|0.949999988|113|0.591283858|0.255081296|0.356407523|0.949999988|663|0.329600006|0.209349588|0.256059647|0.799999952|2715|0.789184213|0.4375|0.562929094|0.949999988|33|0.92324096|0.440040648|0.596008301|0.949999988|30|0.902366877|0.464939028|0.613682151|0.949999988|161|0.849860966|0.465955287|0.601903498|0.949999988|41|Right
IMDB-TMDB|Title|Albert|Euclidean Distance|Scarce|3266468|30994608|Movies|16|3|0.24|16|3|0.43|0.11|0.966024935|0.433434963|0.598386586|0.949999988|21|0.94224596|0.447662592|0.60695833|0.949999988|37|0.936860085|0.278963417|0.429913849|0.949999988|638|0.852008462|0.204776421|0.330192536|0.449999869|2705|0.947983027|0.453760177|0.613745749|0.949999988|27|0.959007561|0.451727629|0.614162385|0.949999988|29|0.945549726|0.458841473|0.61785841|0.099999845|242|0.937048495|0.461382121|0.618318021|0.099999845|57|Right
IMDB-TMDB|Title|Albert|WMD|Scarce|3266468|30994608|Movies|16|3|0.24|16|3|0.43|0.11|0.955631375|0.284552842|0.438527793|0.949999988|26|0.736478686|0.32520324|0.451180786|0.949999988|62|0.776627243|0.266768306|0.397125602|0.949999988|545|0.690476179|0.191565037|0.29992044|0.949999988|3151|0.897854984|0.446646333|0.596538842|0.949999988|29|0.945414841|0.440040648|0.600554764|0.949999988|35|0.934306562|0.455284566|0.612231016|0.949999988|249|0.920163751|0.456808954|0.610526323|0.949999988|60|Right
IMDB-TVDB|Title|FastText|Cosine Similarity|Scarce|2423953|39971580|Movies|16|3|0.24|18|4|0.25|0.06|0.981087446|0.387126863|0.555183887|0.949999988|21|0.859470487|0.393656731|0.539987206|0.949999988|42|0.878453016|0.296641797|0.443514615|0.949999988|607|0.441087604|0.136194035|0.208125457|0.74999994|2779|0.888257563|0.4375|0.586250007|0.899999976|24|0.954918027|0.434701502|0.597435892|0.899999976|22|0.944223106|0.442164183|0.602287114|0.899999976|173|0.892045438|0.439365685|0.588750005|0.899999976|40|Right
IMDB-TVDB|Title|FastText|Euclidean Distance|Scarce|2430132|39971580|Movies|16|3|0.24|18|4|0.25|0.06|0.988235295|0.391791046|0.561122239|0.949999988|21|0.940789461|0.400186568|0.561518312|0.949999988|40|0.864000022|0.302238792|0.447823077|0.499999881|726|0.8125|0.133395523|0.229166657|0.499999881|2939|0.960084021|0.426305979|0.59043932|0.599999905|27|0.96280992|0.434701502|0.598971665|0.499999881|22|0.951710284|0.44123134|0.602931798|0.499999881|129|0.91085273|0.438432842|0.591939569|0.499999881|28|Right
IMDB-TVDB|Title|FastText|WMD|Scarce|2430132|39971580|Movies|16|3|0.24|18|4|0.25|0.06|0|0|0|0|614|0.091015168|0.072761193|0.080870911|0.949999988|725|0.186900958|0.218283579|0.20137693|0.949999988|738|0.117412142|0.137126863|0.126506016|0.649999917|2945|0.269968063|0.315298498|0.290877759|0.949999988|157|0.611702144|0.321828365|0.42176041|0.949999988|439|0.504434586|0.424440295|0.460992903|0.949999988|1104|0.361821085|0.422574639|0.389845133|0.899999976|2875|Right
IMDB-TVDB|Title|Albert|Cosine Similarity|Scarce|2042242|39971580|Movies|16|3|0.24|18|4|0.25|0.05|0.908256888|0.092350744|0.167654529|0.949999988|24|0.204999998|0.114738807|0.147129193|0.949999988|80|0.393939406|0.254664183|0.309348464|0.949999988|725|0.22591944|0.120335817|0.157029822|0.949999988|2899|0.477244765|0.361940295|0.411671072|0.949999988|27|0.775303662|0.357276112|0.489144295|0.949999988|24|0.689552248|0.430970162|0.530424833|0.949999988|118|0.579545438|0.428171635|0.492489249|0.949999988|33|Right
